HU number,Shipping Point,Packed Quantity,Material,Packaging Materials,Length,Width,Height,Total Volume
LELMECB40065022058E,CND7,9,RNT44737/01,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065022058E,CND7,9,SEF901377/4,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065022058E,CND7,9,SEF901376/0535,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40064765116E,CND7,2,RPM2530292/10M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065011908E,CND7,6,RDH10265/3,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40065011908E,CND7,6,RDH10265/25,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40065011908E,CND7,6,RNT44737/01,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40065011908E,CND7,6,SEF901377/4,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40065011908E,CND7,6,SEF901376/0535,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40064546609E,CND7,2,RDH10248/2,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064546609E,CND7,2,KRY901345/8,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064546609E,CND7,2,SXK1252796/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064546609E,CND7,2,RPM2533512/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064546609E,CND7,2,RDH10248/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40065017689E,CND7,4,RDH10265/3,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065017689E,CND7,4,RDH10265/25,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065017689E,CND7,4,RNT44737/01,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065017689E,CND7,4,SEF901377/4,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065017689E,CND7,4,SEF901376/0535,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065017689E,CND7,4,SXK1257558/2,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065088276E,CND7,1,KDU1370096/11,RTK293361/1,0.398,0.56,0.245,0.055
LELMECB40064979407E,CND7,1,KRC161866/2,EAB-ZPACK,0.63,0.4,0.255,0.064
LELMECB40064995797E,CND7,4,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064995797E,CND7,4,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064995797E,CND7,4,SEF901377/5,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40065007253E,CND7,1,RPM777382/05000,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064595072E,CND7,1,RDH10265/25,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064592521E,CND7,1,KRE1012595/2,RTK193170/6,0.288,0.188,0.148,0.008
